# Convert resistence to temperature
# T(K)	R/R0	(DR/DT)/Ro
148.00	0.49025	4.182E-03
149.00	0.49443	4.179E-03
150.00	0.49861	4.177E-03
151.00	0.50279	4.175E-03
152.00	0.50696	4.172E-03
153.00	0.51113	4.170E-03
154.00	0.51530	4.168E-03
155.00	0.51947	4.166E-03
156.00	0.52363	4.163E-03
157.00	0.52779	4.161E-03
158.00	0.53195	4.159E-03
159.00	0.53611	4.157E-03
160.00	0.54027	4.155E-03
161.00	0.54442	4.153E-03
162.00	0.54857	4.151E-03
163.00	0.55272	4.149E-03
164.00	0.55687	4.147E-03
165.00	0.56102	4.145E-03
166.00	0.56516	4.143E-03
167.00	0.56930	4.141E-03
168.00	0.57344	4.139E-03
169.00	0.57758	4.137E-03
170.00	0.58171	4.135E-03
171.00	0.58585	4.133E-03
172.00	0.58998	4.131E-03
173.00	0.59411	4.129E-03
174.00	0.59824	4.127E-03
175.00	0.60236	4.125E-03
176.00	0.60649	4.124E-03
177.00	0.61061	4.122E-03
178.00	0.61473	4.120E-03
179.00	0.61885	4.118E-03
180.00	0.62297	4.117E-03
181.00	0.62709	4.115E-03
182.00	0.63120	4.113E-03
183.00	0.63531	4.111E-03
184.00	0.63942	4.110E-03
185.00	0.64353	4.108E-03
186.00	0.64764	4.106E-03
187.00	0.65174	4.105E-03
188.00	0.65585	4.100E-03
189.00	0.65995	4.101E-03
190.00	0.66405	4.100E-03
191.00	0.66815	4.098E-03
192.00	0.67225	4.096E-03
193.00	0.67634	4.095E-03
194.00	0.68044	4.093E-03
195.00	0.68453	4.092E-03
196.00	0.68862	4.090E-03
197.00	0.69271	4.089E-03
198.00	0.69680	4.087E-03
199.00	0.70088	4.085E-03
200.00	0.70497	4.084E-03
201.00	0.70905	4.082E-03
202.00	0.71313	4.081E-03
203.00	0.71721	4.079E-03
204.00	0.72129	4.078E-03
205.00	0.72537	4.076E-03
206.00	0.72944	4.075E-03
207.00	0.73352	4.073E-03
208.00	0.73759	4.072E-03
209.00	0.74166	4.070E-03
210.00	0.74573	4.069E-03
211.00	0.74980	4.067E-03
212.00	0.75387	4.066E-03
213.00	0.75793	4.065E-03
214.00	0.76199	4.063E-03
215.00	0.76606	4.062E-03
216.00	0.77012	4.060E-03
217.00	0.77418	4.059E-03
218.00	0.77824	4.057E-03
219.00	0.78229	4.056E-03
220.00	0.78635	4.055E-03
221.00	0.79040	4.053E-03
222.00	0.79445	4.052E-03
223.00	0.79851	4.050E-03
224.00	0.80256	4.049E-03
225.00	0.80660	4.048E-03
226.00	0.81065	4.046E-03
227.00	0.81470	4.045E-03
228.00	0.81874	4.044E-03
229.00	0.82278	4.042E-03
230.00	0.82683	4.041E-03
231.00	0.83087	4.040E-03
232.00	0.83490	4.038E-03
233.00	0.83894	4.037E-03
234.00	0.84298	4.036E-03
235.00	0.84701	4.034E-03
236.00	0.85105	4.033E-03
237.00	0.85508	4.032E-03
238.00	0.85911	4.030E-03
239.00	0.86314	4.029E-03
240.00	0.86717	4.028E-03
241.00	0.87120	4.027E-03
242.00	0.87522	4.025E-03
243.00	0.87925	4.024E-03
244.00	0.88327	4.023E-03
245.00	0.88729	4.021E-03
246.00	0.89131	4.020E-03
247.00	0.89533	4.019E-03
248.00	0.89935	4.018E-03
249.00	0.90337	4.016E-03
250.00	0.90738	4.015E-03
251.00	0.91140	4.014E-03
252.00	0.91541	4.013E-03
253.00	0.91942	4.011E-03
254.00	0.92343	4.010E-03
255.00	0.92744	4.009E-03
256.00	0.93145	4.008E-03
257.00	0.93546	4.006E-03
258.00	0.93946	4.005E-03
259.00	0.94347	4.004E-03
260.00	0.94747	4.003E-03
261.00	0.95147	4.001E-03
262.00	0.95547	4.000E-03
263.00	0.95947	3.999E-03
264.00	0.96347	3.998E-03
265.00	0.96747	3.996E-03
266.00	0.97147	3.995E-03
267.00	0.97546	3.994E-03
268.00	0.97945	3.993E-03
269.00	0.98345	3.992E-03
270.00	0.98744	3.990E-03
271.00	0.99143	3.989E-03
272.00	0.99541	3.988E-03
273.00	0.99940	3.987E-03
273.15	1.00000	3.987E-03
283.15	1.03900
293.15	1.07790
303.15	1.11670
313.15	1.15540
323.15	1.19400
333.15	1.23240
343.15	1.27070
353.15	1.30890
363.15	1.34700
373.15	1.38500
