# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
86.855	0.410
86.855	0.410
87.144	0.415
87.144	0.410
87.144	0.415
87.144	0.410
87.144	0.415
87.434	0.410
87.144	0.405
87.434	0.410
87.434	0.415
87.434	0.415
87.724	0.410
87.724	0.410
88.013	0.400
87.724	0.420
87.724	0.415
87.724	0.415
87.724	0.420
87.724	0.405
87.724	0.415
87.724	0.415
87.724	0.415
88.303	0.386
87.724	0.425
87.724	0.410
88.013	0.410
88.013	0.420
88.013	0.415
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.415
88.303	0.415
88.303	0.410
88.303	0.415
88.592	0.454
88.882	0.400
88.592	0.410
88.592	0.420
88.592	0.415
88.882	0.415
88.882	0.415
88.592	0.415
88.592	0.415
89.172	0.410
88.882	0.415
88.882	0.410
89.172	0.415
88.592	0.381
89.172	0.415
89.172	0.415
89.172	0.410
89.172	0.410
89.172	0.410
89.172	0.410
88.882	0.410
89.461	0.435
89.172	0.405
89.172	0.415
89.172	0.410
89.461	0.415
89.461	0.391
89.751	0.415
89.461	0.415
89.751	0.415
89.461	0.415
89.751	0.420
89.751	0.410
89.751	0.415
89.751	0.415
90.040	0.415
89.751	0.420
89.751	0.410
90.040	0.405
90.040	0.449
90.040	0.425
90.330	0.415
88.882	0.410
90.040	0.415
90.040	0.405
90.040	0.410
90.330	0.410
90.330	0.405
90.330	0.410
90.330	0.405
90.330	0.415
90.330	0.425
90.330	0.415
90.330	0.430
90.620	0.420
90.620	0.410
90.620	0.410
90.620	0.410
90.620	0.410
90.620	0.415
90.620	0.410
90.620	0.415
90.620	0.410
90.909	0.415
90.909	0.415
90.909	0.415
90.909	0.410
90.909	0.400
91.199	0.410
90.909	0.425
90.909	0.410
91.199	0.415
90.620	0.410
91.488	0.410
91.778	0.430
91.199	0.415
91.199	0.405
91.488	0.410
91.488	0.410
91.488	0.410
91.488	0.415
91.488	0.420
91.488	0.410
91.488	0.410
91.488	0.410
91.488	0.410
91.778	0.410
91.778	0.405
91.778	0.410
91.778	0.410
91.778	0.410
92.068	0.405
91.778	0.405
91.778	0.410
92.068	0.415
92.068	0.415
92.068	0.410
92.068	0.410
92.357	0.410
92.068	0.405
92.068	0.415
92.357	0.420
92.357	0.410
92.357	0.405
92.357	0.405
92.357	0.410
92.357	0.410
92.357	0.405
92.647	0.415
92.647	0.410
92.357	0.410
92.357	0.415
92.647	0.420
92.647	0.410
92.647	0.425
92.647	0.400
92.936	0.405
92.936	0.405
92.936	0.415
92.936	0.410
92.936	0.415
93.226	0.415
92.936	0.420
92.936	0.420
93.515	0.400
92.936	0.415
92.936	0.420
93.226	0.410
93.226	0.391
93.805	0.400
93.226	0.410
93.226	0.405
93.515	0.405
93.226	0.410
93.226	0.410
93.515	0.400
93.515	0.415
93.226	0.415
93.515	0.415
93.515	0.400
94.095	0.415
94.095	0.361
93.805	0.415
93.805	0.410
93.515	0.405
93.805	0.415
93.805	0.415
94.095	0.410
93.805	0.405
93.805	0.415
93.805	0.410
94.095	0.420
93.805	0.405
94.095	0.405
93.805	0.410
94.095	0.405
94.095	0.405
94.095	0.410
94.095	0.405
94.095	0.405
94.384	0.405
94.095	0.415
94.384	0.410
94.384	0.405
94.384	0.420
94.384	0.415
94.674	0.405
94.384	0.405
94.384	0.410
94.384	0.410
94.674	0.410
94.674	0.405
94.384	0.410
94.674	0.415
94.674	0.415
94.674	0.410
94.674	0.425
94.963	0.420
94.963	0.405
94.963	0.405
94.963	0.405
94.963	0.410
94.963	0.405
94.963	0.391
94.963	0.410
95.253	0.405
95.253	0.405
94.963	0.400
94.963	0.405
95.253	0.405
95.253	0.400
95.253	0.415
95.253	0.400
95.543	0.405
95.543	0.410
95.253	0.410
95.543	0.405
95.543	0.405
95.543	0.405
95.253	0.396
95.543	0.410
95.543	0.410
95.543	0.410
95.543	0.405
96.122	0.410
95.832	0.410
95.832	0.415
95.832	0.400
96.122	0.415
95.832	0.400
96.122	0.405
96.122	0.415
95.832	0.400
96.411	0.405
96.122	0.400
96.122	0.410
96.122	0.405
96.411	0.405
96.122	0.405
96.411	0.405
96.122	0.405
96.411	0.405
96.411	0.405
96.411	0.405
96.411	0.405
96.411	0.410
96.411	0.400
96.701	0.405
96.411	0.410
96.411	0.410
96.411	0.439
96.411	0.405
96.701	0.405
96.701	0.405
96.701	0.410
96.411	0.410
96.991	0.420
96.991	0.410
96.991	0.415
96.991	0.410
97.280	0.405
96.701	0.415
96.991	0.400
96.991	0.410
96.411	0.410
96.991	0.435
97.280	0.391
96.991	0.396
97.280	0.405
96.991	0.400
97.280	0.405
97.280	0.405
97.280	0.386
97.280	0.400
97.280	0.405
97.570	0.405
97.280	0.410
97.570	0.405
97.570	0.405
97.570	0.410
97.570	0.410
97.570	0.405
97.280	0.410
97.570	0.396
97.570	0.396
97.570	0.410
97.570	0.410
97.859	0.405
97.859	0.396
97.859	0.405
97.859	0.415
97.859	0.410
97.859	0.405
97.859	0.410
98.149	0.400
98.149	0.405
98.149	0.405
97.859	0.405
98.149	0.405
98.149	0.410
98.438	0.405
98.438	0.405
98.438	0.410
99.307	0.405
98.438	0.391
98.149	0.400
98.438	0.405
98.438	0.400
98.438	0.405
98.438	0.405
98.438	0.400
98.438	0.400
98.728	0.400
98.728	0.386
98.728	0.396
98.728	0.405
98.728	0.410
98.728	0.396
99.018	0.405
99.018	0.405
98.728	0.405
99.018	0.420
98.728	0.415
98.728	0.400
99.018	0.405
99.018	0.405
99.018	0.400
99.018	0.400
99.018	0.410
99.018	0.405
99.018	0.405
98.728	0.400
99.307	0.391
99.307	0.405
99.307	0.396
99.307	0.400
99.307	0.405
99.307	0.405
99.307	0.400
99.307	0.400
99.597	0.400
99.307	0.400
99.597	0.400
99.597	0.400
99.597	0.396
99.886	0.396
99.597	0.400
99.597	0.400
99.597	0.420
