# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
125.081	0.400
125.081	0.400
125.370	0.396
125.370	0.400
125.081	0.396
125.370	0.391
125.660	0.391
125.660	0.400
125.370	0.391
125.370	0.400
125.370	0.396
125.660	0.396
125.370	0.386
125.370	0.396
125.370	0.391
125.660	0.391
125.660	0.391
125.660	0.381
125.660	0.386
125.949	0.391
125.660	0.391
125.660	0.391
125.660	0.396
125.660	0.386
125.949	0.396
125.660	0.400
125.949	0.410
125.949	0.386
125.949	0.396
125.660	0.396
125.949	0.400
125.660	0.396
125.949	0.386
125.949	0.396
125.949	0.396
125.949	0.400
125.949	0.400
126.239	0.396
126.239	0.396
125.949	0.396
126.239	0.396
126.239	0.396
126.239	0.386
126.239	0.400
126.239	0.400
126.239	0.386
126.239	0.391
126.239	0.391
126.239	0.391
126.529	0.400
126.818	0.386
126.239	0.396
126.529	0.391
126.529	0.391
126.529	0.386
126.529	0.391
126.818	0.391
126.529	0.396
126.529	0.391
126.529	0.391
126.818	0.391
127.108	0.391
126.529	0.386
126.818	0.386
126.818	0.396
126.818	0.400
126.529	0.405
126.818	0.391
127.108	0.391
126.818	0.386
126.818	0.391
126.818	0.396
127.108	0.400
126.818	0.396
126.818	0.400
127.108	0.396
127.108	0.386
127.108	0.400
126.818	0.400
127.108	0.400
127.108	0.396
127.108	0.396
127.108	0.400
127.108	0.396
127.108	0.400
127.397	0.396
127.397	0.405
127.397	0.405
127.108	0.381
127.108	0.391
127.397	0.396
127.397	0.381
127.108	0.376
127.108	0.376
127.397	0.391
127.397	0.405
127.397	0.391
127.687	0.391
127.397	0.386
127.687	0.391
127.397	0.391
127.687	0.391
127.687	0.386
127.687	0.386
127.687	0.386
127.687	0.391
127.687	0.386
127.687	0.396
127.687	0.381
127.687	0.396
127.977	0.391
127.977	0.391
127.977	0.396
127.687	0.396
127.977	0.391
127.977	0.391
128.266	0.400
127.977	0.391
127.977	0.391
128.266	0.396
128.266	0.391
128.266	0.396
128.266	0.391
128.266	0.386
128.266	0.391
127.977	0.386
128.266	0.405
128.266	0.391
128.266	0.391
128.266	0.391
128.266	0.386
128.266	0.381
128.266	0.381
128.556	0.386
128.266	0.391
128.556	0.391
128.556	0.381
128.556	0.381
128.266	0.391
128.266	0.391
128.556	0.400
128.556	0.386
128.845	0.386
128.845	0.391
128.845	0.376
128.556	0.386
128.845	0.391
128.845	0.391
128.845	0.391
128.556	0.391
128.845	0.386
128.845	0.391
128.845	0.396
128.845	0.391
129.135	0.396
129.135	0.396
129.135	0.386
129.135	0.391
128.845	0.400
129.135	0.391
129.135	0.386
129.135	0.386
129.135	0.391
128.845	0.386
129.425	0.391
129.135	0.381
129.135	0.386
129.425	0.386
129.425	0.386
129.425	0.386
129.425	0.386
129.425	0.386
128.556	0.386
129.135	0.381
129.425	0.386
129.714	0.386
129.425	0.391
129.425	0.396
129.425	0.381
129.714	0.396
129.425	0.391
129.425	0.391
129.714	0.391
129.714	0.391
129.714	0.386
129.714	0.391
129.714	0.400
130.004	0.386
130.004	0.391
130.293	0.386
129.714	0.386
130.293	0.386
129.714	0.386
130.004	0.386
130.004	0.386
130.004	0.376
130.004	0.386
129.714	0.391
130.004	0.391
130.004	0.376
130.004	0.391
130.004	0.391
130.004	0.386
130.293	0.386
130.293	0.391
130.004	0.391
130.004	0.391
130.583	0.391
130.293	0.391
130.583	0.386
130.583	0.376
130.293	0.381
130.872	0.391
130.293	0.391
130.293	0.381
130.583	0.356
130.583	0.386
130.293	0.391
130.293	0.386
130.872	0.386
130.583	0.386
130.583	0.386
130.583	0.381
130.583	0.386
130.872	0.391
130.583	0.396
130.583	0.386
130.583	0.381
130.583	0.391
130.583	0.386
130.872	0.386
130.872	0.391
130.583	0.396
130.872	0.391
131.162	0.386
130.872	0.381
130.872	0.386
130.872	0.376
131.452	0.391
131.162	0.381
131.162	0.381
130.872	0.381
131.162	0.381
131.162	0.391
131.162	0.381
131.162	0.381
131.162	0.391
131.162	0.381
131.452	0.376
131.452	0.381
131.162	0.391
130.872	0.391
131.452	0.391
131.452	0.381
131.162	0.386
131.452	0.386
131.452	0.391
131.741	0.391
131.452	0.386
131.452	0.381
131.452	0.381
131.452	0.396
131.741	0.376
131.741	0.386
131.452	0.376
131.452	0.386
131.741	0.371
131.741	0.386
131.452	0.381
131.452	0.386
131.741	0.381
131.741	0.391
131.741	0.381
131.741	0.381
131.741	0.381
131.452	0.415
131.741	0.386
131.741	0.381
131.741	0.376
132.031	0.381
132.031	0.386
131.741	0.391
131.741	0.386
132.031	0.396
132.031	0.386
132.031	0.381
132.031	0.386
132.031	0.381
132.031	0.386
132.320	0.391
132.031	0.386
132.320	0.376
132.320	0.381
132.320	0.381
132.320	0.396
132.320	0.386
132.320	0.376
132.031	0.371
132.320	0.376
132.610	0.381
132.610	0.381
132.320	0.391
132.320	0.381
132.610	0.381
132.320	0.381
132.900	0.386
132.610	0.371
132.610	0.381
132.610	0.381
132.610	0.386
132.610	0.386
132.610	0.381
132.610	0.332
132.900	0.386
132.610	0.386
132.610	0.386
132.900	0.386
132.610	0.391
133.189	0.371
132.900	0.381
132.900	0.381
132.900	0.381
132.900	0.381
132.900	0.391
132.900	0.386
132.900	0.381
133.189	0.386
132.900	0.386
133.189	0.386
133.189	0.386
132.900	0.386
133.189	0.376
133.189	0.391
133.189	0.386
133.189	0.381
133.189	0.381
133.189	0.386
133.189	0.381
133.479	0.405
133.189	0.381
133.189	0.391
133.479	0.386
133.479	0.381
133.479	0.386
133.479	0.386
133.479	0.381
133.479	0.381
133.768	0.381
133.479	0.371
133.479	0.381
133.479	0.381
133.479	0.386
133.768	0.371
133.768	0.376
133.479	0.391
133.479	0.381
133.768	0.381
133.768	0.381
133.768	0.381
134.058	0.376
133.768	0.381
133.768	0.381
134.058	0.381
134.058	0.381
134.058	0.391
133.768	0.376
134.058	0.386
134.058	0.381
133.768	0.386
133.768	0.386
133.768	0.376
134.058	0.391
134.058	0.376
134.058	0.386
134.058	0.381
134.058	0.376
134.058	0.381
134.348	0.386
134.058	0.381
134.058	0.391
134.348	0.381
134.348	0.386
134.348	0.386
134.637	0.381
134.637	0.381
134.348	0.381
134.637	0.381
134.348	0.391
134.348	0.376
134.348	0.386
134.637	0.386
134.637	0.381
134.637	0.386
134.348	0.381
134.637	0.381
134.637	0.381
134.637	0.386
134.927	0.381
134.927	0.386
134.637	0.386
134.927	0.386
134.637	0.386
134.637	0.381
134.927	0.391
134.927	0.381
135.216	0.391
134.927	0.386
134.927	0.381
136.085	0.386
134.927	0.386
134.927	0.347
134.927	0.381
134.927	0.386
135.216	0.371
134.927	0.376
135.216	0.381
135.216	0.381
135.216	0.381
135.216	0.376
134.927	0.376
135.216	0.376
135.506	0.376
135.216	0.381
135.216	0.376
135.506	0.376
135.216	0.376
135.216	0.376
135.216	0.381
135.506	0.381
135.216	0.381
135.216	0.386
135.506	0.386
135.506	0.381
135.506	0.366
135.506	0.376
135.506	0.376
135.506	0.376
135.506	0.381
135.795	0.391
135.795	0.396
135.506	0.376
135.506	0.376
135.795	0.386
135.795	0.386
135.506	0.371
135.795	0.376
135.795	0.347
136.085	0.381
136.085	0.371
136.085	0.381
135.795	0.376
136.085	0.376
135.795	0.371
135.795	0.376
136.085	0.381
136.085	0.381
136.085	0.376
135.795	0.371
136.085	0.371
136.085	0.376
136.085	0.371
136.085	0.366
136.085	0.376
136.085	0.371
136.085	0.381
136.375	0.381
136.375	0.376
136.375	0.391
136.375	0.371
136.375	0.376
136.375	0.381
136.375	0.381
136.375	0.376
136.085	0.366
136.664	0.391
136.375	0.376
136.375	0.376
136.375	0.381
136.954	0.376
136.664	0.376
136.375	0.376
136.664	0.376
135.795	0.381
136.664	0.376
136.664	0.376
136.664	0.376
136.664	0.381
136.954	0.376
136.664	0.371
136.664	0.376
136.664	0.376
136.664	0.381
136.664	0.376
136.954	0.381
136.954	0.381
136.954	0.376
137.243	0.381
136.954	0.381
136.954	0.371
136.954	0.366
136.954	0.366
136.954	0.381
136.954	0.361
136.954	0.371
137.243	0.376
137.243	0.376
137.243	0.381
137.243	0.371
136.954	0.371
137.243	0.376
137.243	0.371
137.243	0.371
137.243	0.371
137.243	0.366
137.533	0.371
137.533	0.366
137.533	0.366
137.243	0.371
137.243	0.371
137.243	0.371
137.243	0.386
137.243	0.376
137.533	0.376
137.533	0.376
137.533	0.381
137.533	0.376
137.533	0.371
137.823	0.381
137.823	0.381
137.533	0.371
137.823	0.371
137.533	0.371
137.823	0.376
137.533	0.371
138.112	0.386
137.823	0.376
137.533	0.371
137.533	0.371
137.823	0.371
137.823	0.381
137.823	0.376
137.823	0.361
138.112	0.391
137.823	0.371
138.112	0.376
138.112	0.371
138.112	0.371
138.402	0.371
138.112	0.366
138.402	0.366
138.112	0.371
138.402	0.366
138.112	0.371
138.112	0.356
138.112	0.371
138.112	0.371
138.402	0.376
138.112	0.366
138.112	0.376
138.402	0.366
138.691	0.371
138.691	0.366
138.402	0.371
138.402	0.371
138.402	0.371
138.691	0.386
138.402	0.366
138.402	0.381
138.981	0.366
138.691	0.371
138.691	0.376
138.691	0.376
138.691	0.366
138.691	0.376
138.691	0.376
138.691	0.371
138.691	0.376
138.691	0.376
138.691	0.376
138.691	0.376
138.691	0.381
138.691	0.376
138.691	0.376
138.981	0.371
138.981	0.376
138.981	0.371
139.271	0.376
138.691	0.410
138.981	0.381
138.981	0.376
138.981	0.386
138.981	0.371
138.981	0.381
139.271	0.371
138.981	0.366
139.271	0.366
139.271	0.366
139.271	0.366
139.271	0.371
139.271	0.371
139.271	0.376
139.271	0.366
139.850	0.361
139.560	0.371
139.560	0.371
139.271	0.366
139.850	0.376
139.271	0.371
139.560	0.371
139.271	0.376
139.560	0.371
139.271	0.371
139.560	0.376
139.271	0.371
139.560	0.376
139.560	0.376
139.560	0.386
139.560	0.352
139.560	0.371
139.560	0.376
139.850	0.366
139.560	0.371
139.560	0.366
139.560	0.366
139.850	0.371
139.850	0.371
139.850	0.371
139.850	0.376
139.850	0.361
139.850	0.371
139.850	0.371
139.850	0.371
139.850	0.366
139.850	0.371
140.139	0.371
139.850	0.376
140.139	0.371
139.850	0.381
139.850	0.366
140.139	0.391
140.139	0.371
140.139	0.371
140.139	0.371
140.139	0.371
140.139	0.371
140.139	0.371
140.139	0.376
140.139	0.376
140.429	0.371
140.139	0.386
140.429	0.371
140.429	0.376
140.429	0.366
140.139	0.361
140.718	0.371
140.429	0.386
140.718	0.361
140.718	0.371
140.718	0.366
140.139	0.347
140.718	0.361
140.429	0.371
140.718	0.371
140.718	0.366
140.429	0.371
140.718	0.366
140.718	0.371
140.718	0.366
140.718	0.366
140.718	0.361
141.008	0.366
140.718	0.356
140.718	0.371
141.008	0.371
140.718	0.361
140.718	0.366
140.718	0.366
141.008	0.361
140.718	0.371
141.008	0.371
140.718	0.371
141.298	0.366
141.008	0.366
140.718	0.371
141.008	0.371
141.298	0.381
141.008	0.371
141.298	0.366
141.008	0.366
141.298	0.361
141.298	0.381
141.587	0.371
141.587	0.371
141.298	0.391
141.298	0.371
141.298	0.371
141.587	0.366
141.298	0.371
141.298	0.371
141.587	0.371
141.587	0.371
141.298	0.386
141.298	0.381
141.298	0.371
141.587	0.371
141.587	0.371
141.587	0.371
141.587	0.366
141.587	0.366
141.587	0.371
141.587	0.361
141.877	0.371
141.587	0.352
141.587	0.366
141.587	0.361
141.587	0.371
141.877	0.366
141.587	0.376
141.877	0.361
141.877	0.366
142.166	0.366
141.877	0.366
142.166	0.371
142.166	0.366
141.877	0.356
142.166	0.366
142.166	0.361
142.166	0.366
142.456	0.361
142.166	0.366
142.166	0.361
142.166	0.366
142.166	0.356
142.456	0.366
142.166	0.376
142.456	0.366
142.166	0.371
142.456	0.366
142.166	0.361
142.456	0.366
142.166	0.376
142.456	0.366
142.456	0.371
142.166	0.371
142.166	0.371
142.456	0.371
142.746	0.371
142.746	0.366
142.456	0.371
142.456	0.371
142.746	0.366
142.456	0.361
142.746	0.366
142.746	0.381
142.456	0.366
142.456	0.366
142.746	0.356
142.746	0.352
143.035	0.366
142.746	0.366
143.035	0.356
142.746	0.376
143.035	0.361
143.035	0.366
142.746	0.371
142.746	0.361
143.035	0.361
142.746	0.361
143.035	0.361
143.035	0.366
143.035	0.361
143.614	0.396
143.035	0.371
143.035	0.371
143.035	0.366
143.035	0.371
143.325	0.366
143.325	0.366
143.035	0.366
143.325	0.356
143.325	0.366
143.325	0.371
143.325	0.366
143.325	0.361
143.325	0.371
143.035	0.366
143.614	0.361
143.325	0.366
143.614	0.381
143.614	0.361
143.614	0.366
143.325	0.366
143.614	0.366
143.904	0.361
143.904	0.356
143.325	0.366
143.614	0.366
143.614	0.361
143.614	0.361
143.614	0.366
143.614	0.366
143.614	0.361
143.614	0.361
143.904	0.361
143.904	0.356
144.194	0.347
143.904	0.361
143.904	0.366
